Month,Day,Year,Home Team,Away Team,Home Score,Away Score,Overtime Periods
5,6,2022,Mystics,Fever,84,70,0
5,6,2022,Sky,Sparks,91,98,1
5,6,2022,Aces,Mercury,88,106,0
5,6,2022,Storm,Lynx,97,74,0
5,7,2022,Liberty,Sun,81,79,0
5,7,2022,Wings,Dream,59,66,0
5,8,2022,Fever,Sparks,77,87,0
5,8,2022,Lynx,Mystics,66,78,0
5,8,2022,Aces,Storm,85,74,0
5,10,2022,Mystics,Aces,89,76,0
5,10,2022,Fever,Lynx,82,76,0
5,11,2022,Dream,Sparks,77,75,0
5,11,2022,Sky,Liberty,83,50,0
5,11,2022,Mercury,Storm,97,77,0
5,13,2022,Mystics,Wings,86,94,0
5,13,2022,Dream,Aces,73,96,0
5,13,2022,Liberty,Fever,86,92,1
5,14,2022,Storm,Mercury,64,69,0
5,14,2022,Sun,Sparks,77,60,0
5,14,2022,Lynx,Sky,78,82,0
5,15,2022,Liberty,Wings,71,81,0
5,15,2022,Fever,Dream,79,85,0
5,17,2022,Liberty,Sun,65,92,0
5,17,2022,Fever,Dream,79,101,0
5,17,2022,Wings,Mystics,68,84,0
5,17,2022,Aces,Mercury,86,74,0
5,17,2022,Sparks,Lynx,84,87,0
5,18,2022,Storm,Sky,74,71,0
5,19,2022,Aces,Lynx,93,87,0
5,19,2022,Mercury,Wings,84,94,0
5,20,2022,Sun,Fever,94,85,0
5,20,2022,Dream,Mystics,73,78,0
5,20,2022,Storm,Sparks,83,80,0
5,21,2022,Aces,Mercury,100,80,0
5,21,2022,Wings,Lynx,94,78,0
5,22,2022,Fever,Sun,0,0,0
5,22,2022,Mystics,Sky,0,0,0